"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Summon: Leviathan","U","R","9274","2.02","5726","2.01","31395","90.0%","55.8%","5264","56.2%","8879","60.9%","14143","59.1%","16855","53.0%","6.2pp"
"Summon: Shiva","U","U","47371","3.62","13611","4.36","70773","86.1%","55.3%","11849","54.4%","19668","58.9%","31517","57.2%","38576","53.7%","3.5pp"
"Swallowed by Leviathan","U","U","65615","5.17","18585","6.04","87551","76.7%","57.0%","15011","55.8%","24499","61.3%","39510","59.2%","47330","55.0%","4.2pp"
"Syncopate","U","C","198413","6.37","36788","8.62","141352","63.4%","55.8%","24331","56.4%","39402","58.1%","63733","57.5%","76815","54.3%","3.2pp"
"Thief's Knife","U","U","56526","4.36","10761","5.75","46651","73.6%","52.7%","8108","52.5%","12414","53.3%","20522","53.0%","25631","52.2%","0.8pp"
"Travel the Overworld","U","U","69955","5.68","15023","7.11","51255","56.7%","54.5%","8578","53.0%","14173","59.6%","22751","57.1%","28130","52.3%","4.9pp"
"Ultros, Obnoxious Octopus","U","U","52780","4.10","16621","4.71","82980","81.7%","56.6%","14805","56.9%","22841","60.1%","37646","58.8%","44633","54.7%","4.2pp"
"Valkyrie Aerial Unit","U","U","65438","5.39","10791","7.26","37614","58.6%","53.1%","6136","50.1%","9894","55.6%","16030","53.5%","21285","52.7%","0.8pp"
"The Water Crystal","U","R","26081","5.34","3339","8.23","2571","13.0%","46.0%","433","","731","47.2%","1164","45.9%","1381","45.8%","0.0pp"
"Y'shtola Rhul","U","M","5428","2.42","2302","2.45","10220","74.2%","53.5%","1710","54.4%","2863","57.5%","4573","56.4%","5555","50.9%","5.4pp"
"Ahriman","B","C","177100","5.24","24274","7.59","106165","72.7%","54.7%","18601","53.0%","26380","56.7%","44981","55.1%","60267","54.3%","0.8pp"
"Al Bhed Salvagers","B","U","52106","3.90","11055","5.01","55464","82.7%","55.5%","9713","54.1%","13641","57.8%","23354","56.3%","31595","54.8%","1.4pp"
"Ardyn, the Usurper","B","R","8794","1.95","5355","1.90","30812","91.0%","58.4%","5230","60.7%","8356","67.4%","13586","64.8%","16612","52.6%","12.2pp"
"Black Mage's Rod","B","C","163252","4.77","29159","6.46","139424","79.0%","55.1%","25029","55.3%","34396","56.1%","59425","55.8%","77571","54.4%","1.4pp"
"Cecil, Dark Knight","B","R","10085","2.19","4320","2.26","23002","87.7%","56.0%","4079","60.8%","5772","57.7%","9851","59.0%","12862","53.8%","5.2pp"
"Circle of Power","B","U","59346","4.56","12656","5.74","56882","73.8%","56.1%","9853","55.4%","14766","59.7%","24619","58.0%","31423","54.5%","3.5pp"
"Cornered by Black Mages","B","C","147592","4.34","32249","5.49","162500","82.5%","56.3%","28196","57.5%","41393","59.1%","69589","58.4%","90528","54.5%","3.9pp"
"Dark Confidant","B","M","5382","2.40","2113","2.47","9808","75.8%","56.4%","1838","63.7%","2504","56.8%","4342","59.7%","5356","53.5%","6.2pp"
"Dark Knight's Greatsword","B","U","62528","4.77","10384","6.48","42896","69.0%","54.8%","7418","55.3%","10577","55.9%","17995","55.6%","24418","54.1%","1.5pp"
"The Darkness Crystal","B","R","17193","3.62","3040","4.71","10727","59.4%","53.2%","1819","53.3%","2759","54.6%","4578","54.1%","5996","52.4%","1.6pp"
"Demon Wall","B","U","58370","4.35","10874","5.83","52067","79.7%","54.8%","9407","53.6%","13142","57.0%","22549","55.6%","28807","54.2%","1.4pp"
"Evil Reawakened","B","U","52875","4.08","11288","5.15","55138","80.6%","55.5%","9292","54.7%","14287","59.7%","23579","57.7%","30457","53.6%","4.1pp"
"Fang, Fearless l'Cie","B","U","59661","4.61","10757","6.08","37907","59.6%","53.0%","6665","50.9%","9528","53.1%","16193","52.2%","21367","53.6%","-1.5pp"
"Fight On!","B","C","202119","6.47","29902","9.11","96632","53.8%","54.6%","15816","50.1%","24671","57.5%","40487","54.6%","54746","54.5%","0.1pp"
"The Final Days","B","U","53679","4.16","11171","5.27","50111","73.9%","56.1%","8441","54.9%","12394","58.3%","20835","56.9%","28936","55.3%","1.6pp"
"Gaius van Baelsar","B","U","53598","4.03","10054","5.31","48080","79.8%","54.6%","8030","53.7%","12170","56.4%","20200","55.4%","27313","53.9%","1.5pp"
"Hecteyes","B","C","176778","5.15","33970","6.95","168513","81.5%","56.0%","30064","56.3%","42232","57.0%","72296","56.7%","94809","55.5%","1.3pp"
"Jecht, Reluctant Guardian","B","R","7218","1.58","4505","1.58","25022","92.5%","55.0%","4228","56.6%","6628","57.4%","10856","57.1%","13893","53.4%","3.7pp"
"Kain, Traitorous Dragoon","B","R","23394","4.67","2973","6.96","5569","31.6%","51.1%","978","48.5%","1421","54.3%","2399","51.9%","3125","50.6%","1.3pp"
"Malboro","B","C","191354","5.78","30356","8.13","128809","69.8%","55.6%","22977","53.9%","33178","58.5%","56155","56.6%","71202","54.8%","1.9pp"
"Namazu Trader","B","C","205689","6.71","27855","9.63","74800","44.6%","54.1%","12631","53.8%","18947","55.4%","31578","54.8%","42659","53.6%","1.2pp"
"Ninja's Blades","B","R","10562","2.26","4072","2.39","21391","87.4%","55.2%","3742","58.7%","5424","57.1%","9166","57.7%","11884","53.1%","4.6pp"
"Overkill","B","U","30129","2.35","13230","2.61","75717","93.2%","56.3%","13118","56.6%","19759","61.2%","32877","59.4%","41607","53.7%","5.7pp"
"Phantom Train","B","U","77084","6.48","11101","9.03","23702","35.5%","54.6%","3850","52.5%","5903","56.1%","9753","54.7%","13754","54.3%","0.5pp"
"Poison the Waters","B","U","74463","5.97","9477","8.80","20399","36.0%","53.2%","3548","52.1%","5179","54.3%","8727","53.4%","11510","53.0%","0.4pp"
"Qutrub Forayer","B","C","215511","7.50","23211","11.15","21517","15.4%","51.8%","3597","50.7%","5276","53.1%","8873","52.1%","12526","51.7%","0.4pp"
"Reno and Rude","B","U","57788","4.37","10094","5.87","45459","75.8%","54.0%","8057","54.7%","10964","53.9%","19021","54.2%","26229","53.8%","0.4pp"
"Resentful Revelation","B","C","192928","5.99","35301","7.99","144487","67.2%","56.6%","26099","56.9%","36209","59.4%","62308","58.3%","81445","55.3%","3.0pp"
"Sephiroth, Fabled SOLDIER","B","M","2952","1.31","2294","1.30","12982","91.2%","56.9%","2247","60.7%","3327","64.0%","5574","62.7%","7240","52.4%","10.3pp"
"Sephiroth's Intervention","B","C","100646","2.95","34148","3.49","194265","93.1%","56.3%","33151","55.6%","50836","61.5%","83987","59.2%","107078","53.9%","5.3pp"
"Shambling Cie'th","B","U","67537","5.26","9672","7.44","34521","60.5%","53.2%","6111","52.3%","8325","52.6%","14436","52.5%","20049","53.7%","-1.2pp"
"Shinra Reinforcements","B","C","204877","6.76","34001","9.11","112251","54.2%","56.3%","19803","56.7%","27660","57.9%","47463","57.4%","63632","55.5%","1.9pp"
"Sidequest: Hunt the Mark","B","U","36530","2.85","13904","3.19","77867","91.0%","56.8%","13302","57.6%","20358","61.9%","33660","60.2%","42822","54.1%","6.2pp"
"Summon: Anima","B","U","54311","4.19","9910","5.48","43556","74.0%","53.2%","7300","49.4%","11065","55.2%","18365","52.9%","24806","53.3%","-0.4pp"
"Summon: Primal Odin","B","R","7357","1.58","5045","1.56","29280","92.5%","58.1%","4996","60.7%","7580","65.5%","12576","63.6%","16101","53.6%","10.1pp"
"Tonberry","B","U","60707","4.72","9311","6.57","37171","66.5%","54.3%","6672","58.8%","8887","52.5%","15559","55.2%","21427","53.7%","1.5pp"
"Undercity Dire Rat","B","C","185753","5.52","29104","7.74","132868","75.7%","55.0%","24054","56.0%","32501","55.4%","56555","55.7%","75623","54.4%","1.2pp"
"Vayne's Treachery","B","C","126700","3.64","35280","4.51","196232","91.0%","56.1%","34238","55.5%","50606","59.4%","84844","57.8%","108694","54.8%","3.0pp"
"Vincent Valentine","B","R","7766","1.73","4319","1.73","23558","89.9%","55.9%","4002","56.9%","6133","59.5%","10135","58.5%","13145","53.7%","4.8pp"
"Vincent's Limit Break","B","C","209284","7.14","24422","10.53","36634","25.0%","52.2%","6105","49.7%","9014","53.6%","15119","52.0%","21289","52.4%","-0.4pp"
"Zenos yae Galvus","B","R","8314","1.81","4828","1.81","26310","89.6%","56.3%","4410","58.6%","7046","60.8%","11456","60.0%","14416","53.2%","6.7pp"
"Zodiark, Umbral God","B","R","19120","3.95","3185","5.16","9567","50.7%","52.5%","1613","50.0%","2494","56.7%","4107","54.1%","5314","51.1%","2.9pp"
