"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Ancient Adamantoise","G","M","3793","2.49","1295","2.49","6056","78.7%","54.9%","1002","52.2%","1531","61.4%","2533","57.8%","3460","52.7%","5.1pp"
"Balamb T-Rexaur","G","C","105468","4.71","20184","6.22","102575","85.1%","55.4%","18093","53.6%","25084","58.1%","43177","56.2%","58631","54.8%","1.4pp"
"Bard's Bow","G","C","127603","6.12","18339","8.60","70160","63.8%","55.2%","12317","55.0%","16593","56.4%","28910","55.8%","40555","54.7%","1.1pp"
"Bartz and Boko","G","R","7461","2.50","2468","2.55","10141","68.9%","55.1%","1732","55.5%","2390","56.1%","4122","55.8%","5825","54.0%","1.8pp"
"Blitzball Shot","G","C","140175","7.48","16906","10.76","30570","30.4%","53.4%","5142","51.9%","7081","55.6%","12223","54.0%","18292","52.9%","1.1pp"
"Cactuar","G","U","51534","6.93","5647","10.34","7095","21.4%","52.2%","1287","52.1%","1570","49.7%","2857","50.8%","4218","53.1%","-2.3pp"
"Chocobo Kick","G","C","94403","4.21","20284","5.38","107668","87.6%","56.1%","18110","54.5%","26066","59.7%","44176","57.6%","62798","55.0%","2.6pp"
"Chocobo Racetrack","G","U","32270","4.00","5277","5.11","22027","72.4%","51.8%","3693","50.0%","5222","52.6%","8915","51.5%","12924","52.1%","-0.5pp"
"Clash of the Eikons","G","U","41064","4.82","6589","6.50","25997","67.1%","53.8%","4345","51.6%","6406","55.4%","10751","53.9%","15181","53.7%","0.2pp"
"Coliseum Behemoth","G","U","34028","4.08","7854","4.94","39064","83.0%","56.2%","6452","55.1%","9798","61.1%","16250","58.7%","22501","54.3%","4.5pp"
"Commune with Beavers","G","C","138613","7.35","16514","10.64","29259","29.9%","53.6%","5221","53.9%","6908","54.2%","12129","54.1%","17013","53.3%","0.8pp"
"Diamond Weapon","G","U","32205","3.92","5951","4.99","27248","77.5%","54.6%","4459","50.8%","6882","58.1%","11341","55.3%","15596","53.9%","1.3pp"
"The Earth Crystal","G","R","10571","3.44","1852","4.18","6509","61.7%","50.3%","1060","44.4%","1539","52.2%","2599","49.0%","3838","51.0%","-1.9pp"
"Esper Origins","G","R","6399","2.14","3258","2.15","17873","87.4%","59.6%","3225","63.3%","4212","64.4%","7437","63.9%","10379","56.3%","7.6pp"
"Galuf's Final Act","G","U","51063","6.79","5226","10.32","5703","18.7%","49.9%","961","43.6%","1309","47.2%","2270","45.7%","3429","52.5%","-6.8pp"
"Gigantoad","G","C","131936","6.45","16742","9.31","53739","54.3%","53.1%","9009","51.5%","13145","55.0%","22154","53.6%","31278","52.7%","0.9pp"
"Goobbue Gardener","G","C","106511","4.84","18512","6.50","92475","83.8%","55.3%","16841","57.3%","21668","54.2%","38509","55.6%","53510","55.1%","0.5pp"
"Gran Pulse Ochu","G","C","126050","6.03","17184","8.55","69169","67.5%","55.0%","12514","55.7%","16745","55.3%","29259","55.5%","39421","54.7%","0.8pp"
"Gysahl Greens","G","C","114664","5.30","16924","7.42","74887","74.4%","54.3%","13371","54.5%","17179","54.1%","30550","54.3%","44179","54.2%","0.0pp"
"Jumbo Cactuar","G","R","10256","3.36","1683","4.17","5664","58.9%","49.4%","935","46.1%","1322","50.5%","2257","48.6%","3397","49.6%","-1.0pp"
"Loporrit Scout","G","C","142893","8.04","15504","11.67","15627","17.1%","50.9%","2791","49.5%","3493","48.2%","6284","48.8%","9288","52.2%","-3.4pp"
"Prishe's Wanderings","G","C","116670","5.46","16926","7.68","70235","69.9%","53.9%","12306","54.2%","16777","54.9%","29083","54.6%","40905","53.3%","1.3pp"
"Quina, Qu Gourmet","G","U","38339","4.64","6244","6.11","24806","67.1%","53.4%","4278","53.7%","5749","51.8%","10027","52.6%","14662","53.9%","-1.3pp"
"Reach the Horizon","G","U","40519","4.95","5646","6.90","21065","63.7%","52.8%","3680","53.2%","5156","53.0%","8836","53.1%","12155","52.6%","0.5pp"
"A Realm Reborn","G","R","20086","6.22","2311","9.63","115","0.8%","","28","","21","","49","","67","",""
"Ride the Shoopuf","G","U","31831","3.88","5191","5.06","22890","76.2%","53.5%","4057","56.7%","5327","53.3%","9384","54.8%","13445","52.5%","2.3pp"
"Rydia's Return","G","U","48703","5.99","6503","8.54","18126","47.2%","53.2%","2980","49.7%","4356","54.8%","7336","52.7%","10705","53.3%","-0.6pp"
"Sazh Katzroy","G","R","5101","1.74","3251","1.70","18413","91.4%","58.4%","3223","66.7%","4541","63.3%","7764","64.7%","10467","53.5%","11.2pp"
"Sazh's Chocobo","G","U","23157","2.75","7456","3.13","40710","89.8%","56.8%","7505","66.7%","9417","54.4%","16922","59.9%","23147","54.4%","5.5pp"
"Sidequest: Raise a Chocobo","G","U","33900","4.05","5827","5.19","26251","76.1%","53.7%","4726","54.5%","6101","53.5%","10827","53.9%","15358","53.5%","0.4pp"
"Summon: Fat Chocobo","G","C","98276","4.40","20263","5.68","103847","84.8%","56.0%","17271","56.7%","24959","59.0%","42230","58.0%","59152","54.0%","4.0pp"
"Summon: Fenrir","G","U","21048","2.55","8957","2.81","50285","91.8%","57.5%","8941","64.2%","12400","58.9%","21341","61.1%","28415","54.7%","6.4pp"
"Summon: Titan","G","R","5627","1.87","3050","1.84","16561","89.4%","56.2%","2814","57.6%","4113","61.5%","6927","59.9%","9498","53.4%","6.5pp"
"Summoner's Grimoire","G","R","10029","3.35","1550","4.25","4793","53.1%","51.3%","827","49.7%","1151","52.5%","1978","51.3%","2763","51.1%","0.2pp"
"Tifa Lockhart","G","R","9270","3.02","1591","3.70","5712","63.2%","50.0%","1078","48.5%","1309","48.7%","2387","48.6%","3298","51.0%","-2.4pp"
"Tifa's Limit Break","G","U","45869","5.58","5734","8.11","16861","50.1%","53.2%","2755","51.1%","4002","55.7%","6757","53.8%","10052","52.7%","1.1pp"
"Torgal, A Fine Hound","G","U","23919","2.88","8820","3.20","48143","90.5%","56.3%","8897","62.1%","11498","56.5%","20395","59.0%","27408","54.4%","4.6pp"
"Town Greeter","G","C","115879","5.43","24542","6.82","118162","79.2%","57.2%","21442","59.2%","28324","58.8%","49766","58.9%","67598","55.9%","3.0pp"
"Traveling Chocobo","G","M","2278","1.57","1320","1.51","6767","85.6%","55.9%","1210","56.4%","1593","61.3%","2803","59.2%","3796","53.2%","6.0pp"
"Vanille, Cheerful l'Cie","G","U","29741","3.61","9482","4.09","48783","85.3%","56.9%","8300","56.4%","12144","61.3%","20444","59.3%","27625","54.9%","4.4pp"
"Absolute Virtue","WU","M","3861","2.67","1123","2.92","4377","65.1%","53.4%","706","52.5%","1142","61.8%","1848","58.3%","2505","49.7%","8.5pp"
"Balthier and Fran","RG","R","15005","4.77","2135","6.74","3955","31.9%","52.7%","699","55.5%","902","51.8%","1601","53.4%","2342","52.0%","1.4pp"
"Black Waltz No. 3","BR","U","38401","4.88","5984","6.56","21239","60.7%","52.7%","3598","50.8%","5435","53.7%","9033","52.5%","12049","52.6%","-0.0pp"
"Choco, Seeker of Paradise","WUG","R","10212","3.39","2385","3.74","8168","59.5%","52.6%","1382","54.0%","2012","54.1%","3394","54.0%","4588","51.0%","3.0pp"
"Cid, Timeless Artificer","WU","U","42572","5.46","7665","7.05","26130","57.7%","54.7%","4577","53.7%","6461","56.5%","11038","55.3%","15045","54.2%","1.2pp"
"Cloud of Darkness","BG","U","34867","4.24","10108","4.76","49426","80.3%","57.7%","8279","57.3%","12405","62.9%","20684","60.7%","27737","55.2%","5.5pp"
"Emet-Selch, Unsundered","UB","M","3082","2.14","1462","2.16","6898","80.2%","54.5%","1170","56.8%","1933","58.8%","3103","58.0%","3689","51.4%","6.6pp"
"The Emperor of Palamecia","UR","U","37429","4.86","9303","5.55","38802","69.6%","56.8%","6823","60.7%","10917","58.5%","17740","59.4%","20845","54.6%","4.7pp"
"Exdeath, Void Warlock","BG","U","40392","4.89","7845","6.28","33514","71.6%","56.3%","5810","55.8%","8193","60.0%","14003","58.2%","18965","54.9%","3.3pp"
"Garland, Knight of Cornelia","BR","U","39075","4.93","7289","6.18","26310","60.7%","55.2%","4611","58.2%","6423","57.4%","11034","57.7%","15167","53.4%","4.3pp"
"Garnet, Princess of Alexandria","WG","U","43034","5.48","6326","7.28","19366","51.6%","54.3%","3489","57.7%","4318","53.5%","7807","55.4%","11475","53.5%","1.9pp"
"Giott, King of the Dwarves","WR","U","44437","5.78","6930","7.52","22593","54.9%","56.2%","3959","57.8%","4902","54.1%","8861","55.7%","13739","56.5%","-0.7pp"
"Gladiolus Amicitia","RG","U","36851","4.63","7281","5.81","29485","68.0%","54.7%","4919","54.3%","7345","60.2%","12264","57.8%","17074","52.3%","5.5pp"
"Golbez, Crystal Collector","UB","R","12501","4.12","2352","5.17","6359","47.1%","49.6%","1106","50.0%","1712","52.1%","2818","51.3%","3506","48.2%","3.0pp"
"Hope Estheim","WU","R","14487","4.71","2179","6.42","4967","39.5%","50.0%","902","51.8%","1255","50.2%","2157","50.9%","2796","49.4%","1.5pp"
"Ignis Scientia","UG","U","38658","4.82","9612","5.71","40232","69.9%","55.4%","7087","58.8%","10609","58.7%","17696","58.7%","22176","52.6%","6.1pp"
"Jenova, Ancient Calamity","BG","R","6319","2.21","3421","2.17","18059","87.1%","56.2%","3110","61.8%","4621","61.8%","7731","61.8%","10047","51.8%","10.0pp"
"Joshua, Phoenix's Dominant","WR","R","6674","2.32","2955","2.27","14334","81.6%","55.5%","2548","57.0%","3458","59.0%","6006","58.1%","8304","53.4%","4.7pp"
"Judge Magister Gabranth","WB","U","42338","5.37","6247","7.23","21391","57.2%","56.0%","3676","57.4%","5111","56.2%","8787","56.7%","12489","55.6%","1.1pp"
"Kefka, Court Mage","UBR","M","3206","2.16","1580","2.05","7497","80.2%","55.2%","1270","59.9%","2136","61.7%","3406","61.0%","3995","49.9%","11.1pp"
"Kuja, Genome Sorcerer","BR","R","6065","2.14","3180","2.02","16812","86.3%","57.0%","2774","63.3%","4517","62.3%","7291","62.7%","9322","52.5%","10.2pp"
"Lightning, Army of One","WR","M","2723","1.88","1233","1.83","5584","75.3%","54.7%","1007","55.5%","1330","57.4%","2337","56.6%","3243","53.1%","3.5pp"
"Locke Cole","UB","U","38843","4.68","8314","5.88","35145","70.7%","55.2%","6041","57.3%","9904","58.8%","15945","58.2%","18797","52.7%","5.6pp"
"Noctis, Prince of Lucis","WUB","R","13667","4.29","2067","5.85","3774","32.2%","47.8%","639","47.1%","1024","49.8%","1663","48.8%","2085","46.7%","2.1pp"
"Omega, Heartless Evolution","UG","U","44101","5.41","9577","6.76","36008","63.2%","55.7%","5987","54.0%","9987","61.9%","15974","58.9%","19619","52.7%","6.2pp"
"Rinoa Heartilly","WG","U","39902","4.92","7416","6.17","28321","63.8%","55.4%","4757","57.1%","6457","58.4%","11214","57.8%","16964","53.7%","4.1pp"
"Rufus Shinra","WB","U","43280","5.41","6500","7.40","20430","53.3%","55.3%","3492","58.1%","4947","55.9%","8439","56.8%","11860","54.2%","2.6pp"
"Rydia, Summoner of Mist","RG","U","43964","5.71","6456","7.67","17406","45.7%","53.7%","3075","55.3%","4143","54.3%","7218","54.7%","10145","53.0%","1.7pp"
"Serah Farron","WG","R","12511","4.10","1992","5.55","4755","41.3%","50.7%","798","46.4%","1119","51.7%","1917","49.5%","2807","51.2%","-1.7pp"
"Shantotto, Tactician Magician","UR","U","37202","4.85","9923","5.37","42783","71.4%","57.2%","7446","59.9%","12018","59.1%","19464","59.4%","23043","55.3%","4.2pp"
"Sin, Spira's Punishment","UBG","R","7455","2.59","3526","2.57","17697","84.7%","55.3%","3019","55.3%","5002","62.2%","8021","59.6%","9417","51.3%","8.3pp"
"Squall, SeeD Mercenary","WB","R","6818","2.39","2611","2.38","12081","77.2%","55.5%","2030","57.5%","2990","58.8%","5020","58.3%","6972","53.4%","4.9pp"
"Tellah, Great Sage","UR","R","9242","3.14","3178","3.27","14416","77.0%","54.2%","2421","53.8%","4087","55.5%","6508","54.9%","7831","53.5%","1.3pp"
"Terra, Magical Adept","RG","M","3715","2.60","1224","2.60","4041","56.2%","53.8%","694","55.0%","985","55.6%","1679","55.4%","2336","52.9%","2.5pp"
"Tidus, Blitzball Star","WU","U","40354","5.22","6319","6.80","21384","58.3%","52.4%","3719","50.2%","5336","51.4%","9055","50.9%","12295","53.5%","-2.6pp"
"Ultimecia, Time Sorceress","UB","U","38890","4.76","7983","6.10","32046","68.1%","54.0%","5363","51.8%","9042","57.5%","14405","55.4%","17184","52.5%","2.9pp"
"Vivi Ornitier","UR","M","2713","1.92","1346","1.81","6111","76.7%","54.8%","1072","59.9%","1707","57.5%","2779","58.4%","3311","51.4%","7.0pp"
"The Wandering Minstrel","UG","R","13894","4.44","3002","5.38","8981","51.4%","51.7%","1567","51.1%","2510","57.9%","4077","55.3%","4815","48.4%","6.9pp"
"Yuna, Hope of Spira","WG","M","2714","1.95","1305","1.81","5414","69.5%","56.2%","923","58.9%","1285","64.4%","2208","62.1%","3154","51.7%","10.4pp"
"Zidane, Tantalus Thief","WR","U","43314","5.35","6929","7.04","23282","56.1%","56.6%","3909","56.3%","5454","60.7%","9363","58.9%","13885","55.0%","3.8pp"
"Adventurer's Airship","","C","144887","7.91","16825","11.38","17656","17.6%","53.6%","3037","52.8%","4242","53.2%","7279","53.1%","10287","53.7%","-0.7pp"
"Aettir and Priwen","","M","5802","3.72","726","5.21","1265","30.3%","47.4%","216","","311","","527","43.6%","723","50.6%","-7.0pp"
"Blitzball","","C","133778","6.39","17459","9.20","45738","44.9%","51.7%","8307","49.9%","11264","51.8%","19571","51.0%","25847","52.1%","-1.1pp"
"Buster Sword","","M","1692","1.15","1469","1.13","8869","98.5%","56.8%","1536","62.8%","2202","61.9%","3738","62.3%","4968","52.4%","9.9pp"
"Elixir","","U","57155","7.92","6002","11.67","2451","6.9%","47.7%","395","","670","49.9%","1065","47.9%","1341","47.6%","0.3pp"
"Excalibur II","","R","13770","4.36","1468","6.59","1957","23.7%","47.5%","349","","445","","794","45.6%","1086","49.0%","-3.4pp"
"Genji Glove","","R","10520","3.53","1385","4.59","4466","55.5%","51.7%","758","45.5%","1066","50.8%","1824","48.6%","2581","53.6%","-5.0pp"
"Instant Ramen","","C","143738","7.62","15828","11.11","18215","19.5%","52.8%","3328","50.3%","4488","54.1%","7816","52.5%","10013","52.7%","-0.2pp"
"Iron Giant","","C","144768","8.17","13164","12.19","7209","9.3%","48.7%","1219","43.5%","1794","49.5%","3013","47.1%","4160","49.7%","-2.6pp"
"Lion Heart","","U","41699","4.67","6649","6.52","28059","70.5%","54.8%","4728","52.3%","6877","57.0%","11605","55.1%","16048","54.4%","0.7pp"
"Lunatic Pandora","","C","144889","8.16","14819","11.95","10372","11.8%","50.4%","1972","47.1%","2507","52.6%","4479","50.1%","5656","50.1%","0.0pp"
"Magic Pot","","C","146471","8.56","14764","12.41","6007","6.9%","48.9%","1033","47.9%","1569","48.6%","2602","48.3%","3365","49.0%","-0.7pp"
"The Masamune","","R","10798","3.44","1549","4.35","4082","46.4%","48.6%","618","43.2%","1033","45.1%","1651","44.4%","2389","51.3%","-6.9pp"
"Monk's Fist","","C","140467","7.21","19722","10.20","51839","43.7%","55.6%","9403","54.7%","11971","54.9%","21374","54.8%","29489","55.9%","-1.1pp"
"PuPu UFO","","U","49754","5.95","6159","8.64","17071","47.1%","53.6%","3121","55.0%","4428","56.3%","7549","55.8%","9334","51.7%","4.1pp"
"The Regalia","","R","4715","1.58","3265","1.58","19083","96.9%","55.7%","3251","56.9%","4818","58.3%","8069","57.7%","10839","54.2%","3.5pp"
"Relentless X-ATM092","","U","50423","5.97","5675","9.08","13543","40.6%","53.2%","2313","49.3%","3422","55.5%","5735","53.0%","7729","53.0%","-0.0pp"
"Ring of the Lucii","","U","51965","6.38","5954","9.49","10626","30.3%","53.3%","1770","50.7%","2723","55.9%","4493","53.9%","6026","52.7%","1.2pp"
"World Map","","C","140539","7.10","17137","10.30","34805","34.5%","51.9%","6656","50.5%","8560","51.9%","15216","51.3%","19198","52.3%","-1.0pp"
"Adventurer's Inn","","C","145755","8.29","15251","12.02","19185","21.2%","53.6%","3175","53.4%","4809","56.4%","7984","55.2%","11104","52.5%","2.7pp"
"Balamb Garden, SeeD Academy","","R","11110","3.40","3542","3.81","16533","77.3%","57.2%","3079","59.8%","3836","59.2%","6915","59.5%","9412","55.4%","4.1pp"
"Baron, Airship Kingdom","","C","94698","6.51","17598","8.85","69720","66.1%","55.2%","12614","56.7%","18462","54.7%","31076","55.5%","38368","54.8%","0.7pp"
"Capital City","","U","48614","5.38","8434","7.64","41789","83.0%","55.0%","7547","53.8%","10568","57.3%","18115","55.9%","23470","54.3%","1.6pp"
"Clive's Hideaway","","R","19705","5.98","2307","9.19","1264","9.2%","47.2%","225","","299","","524","46.4%","730","47.8%","-1.4pp"
"Crossroads Village","","C","121560","5.13","23730","7.16","129856","91.6%","55.6%","24135","56.6%","31738","55.2%","55873","55.8%","73532","55.5%","0.2pp"
"Eden, Seat of the Sanctum","","U","56667","7.31","7500","10.49","18376","41.3%","54.7%","3040","53.1%","4476","56.8%","7516","55.3%","10728","54.3%","1.0pp"
"Gohn, Town of Ruin","","C","92476","6.19","16413","8.48","70740","72.0%","55.4%","12870","56.4%","16597","55.0%","29467","55.6%","40830","55.3%","0.3pp"
"The Gold Saucer","","U","55958","7.27","6115","10.89","11127","30.5%","52.7%","1887","51.9%","2846","54.1%","4733","53.2%","6337","52.3%","0.9pp"
"Gongaga, Reactor Town","","C","95735","6.69","14794","9.37","48288","55.2%","53.7%","8756","54.6%","10982","53.2%","19738","53.8%","28331","53.6%","0.2pp"
"Guadosalam, Farplane Gateway","","C","93636","6.42","17598","8.68","67906","64.6%","54.9%","12485","55.6%","16209","55.7%","28694","55.7%","38812","54.4%","1.2pp"
"Insomnia, Crown City","","C","95900","6.57","14403","9.38","44814","52.2%","54.0%","8204","54.6%","10579","53.6%","18783","54.1%","25848","54.0%","0.1pp"
"Ishgard, the Holy See","","R","13036","3.81","2347","4.97","10390","75.8%","54.2%","1836","54.0%","2546","54.2%","4382","54.1%","5978","54.4%","-0.3pp"
"Jidoor, Aristocratic Capital","","R","16485","4.83","2224","7.08","6260","48.9%","50.2%","1093","49.2%","1710","49.5%","2803","49.4%","3414","50.5%","-1.1pp"
"Lindblum, Industrial Regency","","R","12222","3.63","2426","4.58","11174","79.5%","53.6%","1955","51.2%","2817","53.6%","4772","52.6%","6350","54.3%","-1.7pp"
"Midgar, City of Mako","","R","11148","3.32","2534","4.12","12454","84.5%","54.2%","2257","52.6%","3063","54.5%","5320","53.7%","7042","54.4%","-0.6pp"
"Rabanastre, Royal City","","C","97279","6.84","14169","9.74","43711","51.9%","54.1%","8017","55.3%","10169","52.2%","18186","53.5%","25417","54.5%","-0.9pp"
"Sharlayan, Nation of Scholars","","C","95524","6.49","15575","9.18","55114","59.5%","53.9%","10212","54.5%","13489","54.1%","23701","54.2%","31198","53.7%","0.6pp"
"Starting Town","","R","9865","2.92","2665","3.51","14628","94.2%","54.0%","2777","57.7%","3535","53.7%","6312","55.5%","8248","52.8%","2.7pp"
"Treno, Dark City","","C","91554","6.00","17679","8.24","74762","70.8%","54.6%","13621","55.6%","19183","55.7%","32804","55.7%","41559","53.8%","1.9pp"
"Vector, Imperial Capital","","C","94850","6.47","15600","9.00","54711","59.0%","53.8%","10043","55.4%","13639","53.9%","23682","54.5%","30757","53.3%","1.3pp"
"Windurst, Federation Center","","C","95642","6.63","14163","9.37","48458","57.6%","54.5%","8826","55.0%","11172","54.1%","19998","54.5%","28250","54.4%","0.0pp"
"Zanarkand, Ancient Metropolis","","R","9255","2.88","3013","3.22","15307","85.1%","55.8%","2680","54.1%","3798","58.5%","6478","56.6%","8674","55.1%","1.6pp"
"Adeline, Resplendent Cathar","W","R","731","1.89","351","","1901","88.3%","56.7%","336","","472","","808","62.7%","1085","52.4%","10.3pp"
"Ranger-Captain of Eos","W","M","1503","3.41","316","","1145","59.6%","59.7%","204","","270","","474","","669","57.4%",""
"Sram, Senior Edificer","W","R","940","2.36","390","","2017","87.1%","57.4%","346","","467","","813","60.8%","1198","55.1%","5.7pp"
"Counterspell","U","U","13626","4.11","3294","5.19","16129","82.1%","56.0%","2720","55.8%","4553","59.8%","7273","58.3%","8768","54.0%","4.3pp"
"Urza, Lord High Artificer","U","M","813","2.29","446","","2414","87.8%","57.6%","391","","677","63.1%","1068","64.9%","1317","51.7%","13.2pp"
"Venser, Shaper Savant","U","R","1235","2.89","461","","2319","86.8%","55.3%","388","","651","62.1%","1039","58.0%","1248","52.8%","5.2pp"
"Bolas's Citadel","B","R","1755","4.13","291","","780","45.4%","52.6%","145","","188","","333","","440","",""
"Dark Ritual","B","R","1609","4.01","217","","613","47.8%","51.1%","89","","159","","248","","358","",""
"Fatal Push","B","U","9168","2.73","3041","3.14","16632","89.6%","57.2%","2921","58.4%","4391","60.5%","7312","59.7%","9123","55.3%","4.4pp"
"Syr Konrad, the Grim","B","U","9324","2.92","2874","3.32","15290","89.3%","55.0%","2498","53.1%","3993","58.7%","6491","56.5%","8608","53.7%","2.9pp"
"Yawgmoth, Thran Physician","B","M","813","2.05","415","","2276","88.6%","57.3%","416","","610","63.3%","1026","61.7%","1228","53.7%","7.9pp"
"Ancient Copper Dragon","R","M","889","2.19","269","","1239","78.1%","54.8%","190","","314","","504","53.6%","735","55.4%","-1.8pp"
"Godo, Bandit Warlord","R","R","1381","3.49","332","","1149","59.1%","54.4%","180","","278","","458","","690","53.0%",""
"Purphoros, God of the Forge","R","M","1054","2.43","262","","880","58.6%","50.6%","150","","220","","370","","506","51.0%",""
"Azusa, Lost but Seeking","G","R","1868","4.42","181","","356","33.3%","","58","","87","","145","","210","",""
"Nyxbloom Ancient","G","M","1918","4.41","189","","244","23.1%","","47","","59","","106","","139","",""
"Jodah, the Unifier","WUBRG","R","2085","5.06","291","","492","29.6%","","73","","139","","212","","274","",""
"Tymna the Weaver","WB","R","1463","3.88","250","","809","54.6%","53.9%","149","","199","","348","","462","",""
"Winota, Joiner of Forces","WR","R","1298","3.52","312","","1228","65.1%","58.0%","196","","305","","501","66.9%","732","51.6%","15.2pp"
"Traxos, Scourge of Kroog","","R","1241","3.00","425","","2181","87.0%","53.0%","381","","535","55.7%","916","56.3%","1244","50.6%","5.7pp"
"Akroma's Will","W","M","1056","2.55","394","","2049","84.1%","57.7%","361","","516","65.9%","877","63.9%","1172","53.2%","10.7pp"
"Danitha Capashen, Paragon","W","U","8995","2.95","2210","3.35","11312","85.7%","55.8%","1992","57.0%","2612","55.7%","4604","56.3%","6708","55.2%","1.0pp"
"Kenrith, the Returned King","W","R","668","1.95","347","","1840","89.7%","54.0%","300","","463","","763","59.8%","1067","50.0%","9.8pp"
"Loran of the Third Path","W","R","1162","2.73","323","","1736","88.4%","58.1%","297","","410","","707","58.0%","1023","58.2%","-0.2pp"
"Mangara, the Diplomat","W","R","898","2.27","300","","1504","84.4%","54.3%","253","","360","","613","53.8%","872","54.5%","-0.6pp"
"Stroke of Midnight","W","U","13930","4.39","1353","6.64","4437","57.7%","50.6%","795","46.5%","1001","49.3%","1796","48.1%","2632","52.4%","-4.3pp"
"Wall of Omens","W","U","15679","4.67","2296","6.43","8541","62.6%","55.4%","1545","56.9%","2078","58.0%","3623","57.5%","4881","53.7%","3.9pp"
"Brainstorm","U","U","15750","4.89","2190","7.13","6544","50.9%","53.6%","1147","53.7%","1761","55.0%","2908","54.5%","3597","52.9%","1.6pp"
"Cryptic Command","U","R","1239","2.89","424","","2129","80.7%","58.4%","377","","616","63.3%","993","63.2%","1101","53.6%","9.7pp"
"Laboratory Maniac","U","U","21270","7.31","2585","10.76","955","6.3%","49.4%","166","","300","","466","","479","",""
"Rhystic Study","U","M","1459","3.59","204","","491","41.0%","","95","","134","","229","","260","",""
"Teferi, Mage of Zhalfir","U","R","1555","3.88","283","","838","49.8%","53.9%","130","","235","","365","","472","",""
"Deadly Dispute","B","U","15174","4.38","2748","5.90","12705","77.7%","55.1%","2113","53.8%","3202","58.2%","5315","56.5%","7292","54.2%","2.3pp"
"Diabolic Intent","B","R","1877","4.72","183","","327","28.9%","","42","","80","","122","","205","",""
"Gix, Yawgmoth Praetor","B","M","839","2.10","376","","2003","87.5%","54.8%","353","","482","","835","57.4%","1148","52.9%","4.5pp"
"K'rrik, Son of Yawgmoth","B","R","1713","4.20","164","","368","39.7%","","62","","83","","145","","221","",""
"Varragoth, Bloodsky Sire","B","R","1062","2.56","281","","1480","88.3%","53.6%","247","","410","","657","51.3%","803","55.5%","-4.2pp"
"Captain Lannery Storm","R","U","11612","3.50","2486","4.34","12323","81.9%","56.3%","2235","58.2%","3053","57.9%","5288","58.1%","6979","55.0%","3.1pp"
"Light Up the Stage","R","U","17728","5.46","2488","7.64","8182","55.6%","54.3%","1430","53.3%","1940","55.8%","3370","54.7%","4775","53.9%","0.8pp"
"Lightning Bolt","R","U","8084","2.52","3204","2.74","17299","88.8%","57.0%","3029","57.5%","4243","60.7%","7272","59.4%","9917","55.1%","4.3pp"
"Mizzix's Mastery","R","R","1804","4.46","285","","751","45.2%","55.7%","131","","227","","358","","391","",""
"Najeela, the Blade-Blossom","R","M","1325","3.37","297","","1074","62.9%","53.6%","185","","267","","452","","621","53.1%",""
"Ragavan, Nimble Pilferer","R","M","771","1.77","398","","2031","84.8%","57.6%","344","","528","55.5%","872","58.0%","1153","57.0%","1.0pp"
"Carpet of Flowers","G","R","2428","6.19","244","","52","3.5%","","4","","15","","19","","33","",""
"Farseek","G","U","15202","4.62","2345","6.15","10009","72.5%","54.4%","1764","54.5%","2322","55.0%","4086","54.7%","5892","54.1%","0.6pp"
"Fynn, the Fangbearer","G","U","14887","4.50","2494","6.06","11885","80.8%","54.7%","2137","55.4%","2874","55.4%","5011","55.4%","6810","54.2%","1.1pp"
"Nature's Claim","G","U","20098","6.63","2006","10.19","2347","20.2%","51.7%","383","","584","52.2%","967","50.2%","1371","52.7%","-2.6pp"
"Primeval Titan","G","R","716","1.81","394","","2060","89.6%","56.6%","365","","540","66.1%","905","61.9%","1136","52.5%","9.4pp"
"Atraxa, Grand Unifier","WUBG","M","944","2.29","438","","2101","80.9%","56.7%","356","","601","69.4%","957","67.7%","1105","46.4%","21.3pp"
"Bruse Tarl, Boorish Herder","WR","R","1138","3.12","327","","1390","72.6%","55.6%","231","","330","","561","62.0%","828","51.3%","10.7pp"
"Dovin's Veto","WU","U","20721","7.03","2221","10.53","1580","12.2%","49.4%","284","","408","","692","50.4%","887","48.7%","1.7pp"
"Inalla, Archmage Ritualist","UBR","R","2008","4.98","277","","295","17.7%","","51","","67","","118","","173","",""
"Ishai, Ojutai Dragonspeaker","WU","R","1848","4.66","251","","501","34.5%","46.3%","77","","136","","213","","285","",""
"Isshin, Two Heavens as One","WBR","R","1994","5.07","212","","170","13.8%","","31","","33","","64","","106","",""
"Kinnan, Bonder Prodigy","UG","M","1997","4.74","334","","962","48.4%","55.0%","154","","282","","436","","521","54.5%",""
"Kraum, Ludevic's Opus","UR","R","1363","3.40","395","","1804","73.9%","56.5%","292","","490","","782","59.6%","1011","53.8%","5.8pp"
"Muldrotha, the Gravetide","UBG","R","1165","3.03","405","","1972","81.7%","55.1%","344","","565","61.6%","909","59.5%","1041","50.5%","9.0pp"
"Thrasios, Triton Hero","UG","M","1719","3.97","392","","1558","68.0%","53.9%","274","","394","","668","54.2%","877","54.0%","0.1pp"
"Vial Smasher the Fierce","BR","M","1074","2.80","330","","1551","78.7%","54.5%","255","","389","","644","58.4%","890","51.5%","6.9pp"
