"Name","Color","Rarity","# GIH","GIH WR"
"Gigantoad","G","C","19824","53.7%"
"Goobbue Gardener","G","C","34243","55.8%"
"Gran Pulse Ochu","G","C","25930","55.4%"
"Gysahl Greens","G","C","27395","54.4%"
"Jumbo Cactuar","G","R","2007","49.6%"
"Loporrit Scout","G","C","5808","48.9%"
"Prishe's Wanderings","G","C","25811","54.7%"
"Quina, Qu Gourmet","G","U","9014","53.1%"
"Reach the Horizon","G","U","7884","53.4%"
"A Realm Reborn","G","R","45",""
"Ride the Shoopuf","G","U","8252","54.9%"
"Rydia's Return","G","U","6499","52.7%"
"Sazh Katzroy","G","R","6803","64.8%"
"Sazh's Chocobo","G","U","14944","59.9%"
"Sidequest: Raise a Chocobo","G","U","9812","53.9%"
"Summon: Fat Chocobo","G","C","37271","58.1%"
"Summon: Fenrir","G","U","18822","61.3%"
"Summon: Titan","G","R","6140","59.5%"
"Summoner's Grimoire","G","R","1782","50.9%"
"Tifa Lockhart","G","R","2174","48.4%"
"Tifa's Limit Break","G","U","6060","53.9%"
"Torgal, A Fine Hound","G","U","18109","59.0%"
"Town Greeter","G","C","43783","58.9%"
"Traveling Chocobo","G","M","2451","58.8%"
"Vanille, Cheerful l'Cie","G","U","18152","59.2%"
"Absolute Virtue","WU","M","1632","57.7%"
"Balthier and Fran","RG","R","1467","53.4%"
"Black Waltz No. 3","BR","U","8110","52.3%"
"Choco, Seeker of Paradise","WUG","R","2989","53.7%"
"Cid, Timeless Artificer","WU","U","9916","55.3%"
"Cloud of Darkness","BG","U","18236","60.7%"
"Emet-Selch, Unsundered","UB","M","2664","57.8%"
"The Emperor of Palamecia","UR","U","15461","59.4%"
"Exdeath, Void Warlock","BG","U","12288","58.2%"
"Garland, Knight of Cornelia","BR","U","9788","57.8%"
"Garnet, Princess of Alexandria","WG","U","7046","55.4%"
"Giott, King of the Dwarves","WR","U","7900","55.6%"
"Gladiolus Amicitia","RG","U","10887","57.8%"
"Golbez, Crystal Collector","UB","R","2532","51.3%"
"Hope Estheim","WU","R","1940","50.5%"
"Ignis Scientia","UG","U","15530","58.8%"
"Jenova, Ancient Calamity","BG","R","6794","62.2%"
"Joshua, Phoenix's Dominant","WR","R","5310","58.4%"
"Judge Magister Gabranth","WB","U","7768","56.5%"
"Kefka, Court Mage","UBR","M","2895","61.2%"
"Kuja, Genome Sorcerer","BR","R","6374","62.6%"
"Lightning, Army of One","WR","M","2133","56.7%"
"Locke Cole","UB","U","13882","58.3%"
"Noctis, Prince of Lucis","WUB","R","1510","48.5%"
"Omega, Heartless Evolution","UG","U","14061","58.8%"
"Rinoa Heartilly","WG","U","9923","58.1%"
"Rufus Shinra","WB","U","7503","56.9%"
"Rydia, Summoner of Mist","RG","U","6480","54.8%"
"Serah Farron","WG","R","1714","50.0%"
"Shantotto, Tactician Magician","UR","U","16941","59.6%"
"Sin, Spira's Punishment","UBG","R","7097","59.7%"
"Squall, SeeD Mercenary","WB","R","4427","58.1%"
"Tellah, Great Sage","UR","R","5782","54.8%"
"Terra, Magical Adept","RG","M","1522","55.3%"
"Tidus, Blitzball Star","WU","U","8117","50.7%"
"Ultimecia, Time Sorceress","UB","U","12767","55.5%"
"Vivi Ornitier","UR","M","2400","58.3%"
"The Wandering Minstrel","UG","R","3615","55.0%"
"Yuna, Hope of Spira","WG","M","1989","62.1%"
"Zidane, Tantalus Thief","WR","U","8309","59.0%"
"Adventurer's Airship","","C","6380","53.0%"
"Aettir and Priwen","","M","499",""
"Blitzball","","C","17486","50.9%"
"Buster Sword","","M","3294","62.8%"
"Elixir","","U","955","47.9%"
"Excalibur II","","R","729","45.7%"
"Genji Glove","","R","1676","48.7%"
"Instant Ramen","","C","6974","52.6%"
"Iron Giant","","C","2740","46.9%"
"Lion Heart","","U","10192","55.1%"
"Lunatic Pandora","","C","4040","50.2%"
"Magic Pot","","C","2298","48.4%"
"The Masamune","","R","1484","44.4%"
"Monk's Fist","","C","18937","54.6%"
"PuPu UFO","","U","6607","56.0%"
"The Regalia","","R","7113","57.6%"
"Relentless X-ATM092","","U","5008","53.2%"
"Ring of the Lucii","","U","3891","53.3%"
"World Map","","C","13397","51.3%"
"Adventurer's Inn","","C","7047","55.1%"
"Balamb Garden, SeeD Academy","","R","6025","59.6%"
"Baron, Airship Kingdom","","C","27154","55.3%"
"Capital City","","U","15977","55.9%"
"Clive's Hideaway","","R","474",""
"Crossroads Village","","C","49268","55.9%"
"Eden, Seat of the Sanctum","","U","6591","55.1%"
"Gohn, Town of Ruin","","C","25893","55.6%"
"The Gold Saucer","","U","4208","53.5%"
"Gongaga, Reactor Town","","C","17528","53.9%"
"Guadosalam, Farplane Gateway","","C","25332","55.8%"
"Insomnia, Crown City","","C","16507","54.1%"
"Ishgard, the Holy See","","R","3870","53.8%"
"Jidoor, Aristocratic Capital","","R","2495","49.9%"
"Lindblum, Industrial Regency","","R","4251","52.4%"
"Midgar, City of Mako","","R","4698","53.7%"
"Rabanastre, Royal City","","C","16200","53.8%"
"Sharlayan, Nation of Scholars","","C","20908","54.1%"
"Starting Town","","R","5635","55.6%"
"Treno, Dark City","","C","28617","55.6%"
"Vector, Imperial Capital","","C","20862","54.5%"
"Windurst, Federation Center","","C","17724","54.3%"
"Zanarkand, Ancient Metropolis","","R","5824","57.0%"
"Adeline, Resplendent Cathar","W","R","696","62.5%"
"Ranger-Captain of Eos","W","M","419",""
"Sram, Senior Edificer","W","R","712","60.8%"
"Counterspell","U","U","6387","58.4%"
"Urza, Lord High Artificer","U","M","906","66.2%"
"Venser, Shaper Savant","U","R","909","58.4%"
"Bolas's Citadel","B","R","276",""
"Dark Ritual","B","R","229",""
"Fatal Push","B","U","6399","59.7%"
"Syr Konrad, the Grim","B","U","5638","56.9%"
"Yawgmoth, Thran Physician","B","M","913","62.4%"
"Ancient Copper Dragon","R","M","446",""
"Godo, Bandit Warlord","R","R","405",""
"Purphoros, God of the Forge","R","M","326",""
"Azusa, Lost but Seeking","G","R","133",""
"Nyxbloom Ancient","G","M","105",""
"Jodah, the Unifier","WUBRG","R","184",""
"Tymna the Weaver","WB","R","306",""
"Winota, Joiner of Forces","WR","R","427",""
"Traxos, Scourge of Kroog","","R","809","56.7%"
"Akroma's Will","W","M","749","63.6%"
"Danitha Capashen, Paragon","W","U","4144","56.2%"
"Kenrith, the Returned King","W","R","656","58.7%"
"Loran of the Third Path","W","R","583","58.0%"
"Mangara, the Diplomat","W","R","558","54.3%"
"Stroke of Midnight","W","U","1607","47.9%"
"Wall of Omens","W","U","3147","57.4%"
"Brainstorm","U","U","2567","54.3%"
"Cryptic Command","U","R","857","63.1%"
"Laboratory Maniac","U","U","412",""
"Rhystic Study","U","M","200",""
"Teferi, Mage of Zhalfir","U","R","327",""
"Deadly Dispute","B","U","4591","57.1%"
"Diabolic Intent","B","R","106",""
"Gix, Yawgmoth Praetor","B","M","737","57.1%"
"K'rrik, Son of Yawgmoth","B","R","121",""
"Varragoth, Bloodsky Sire","B","R","600","51.0%"
"Captain Lannery Storm","R","U","4629","57.6%"
"Light Up the Stage","R","U","3050","54.8%"
"Lightning Bolt","R","U","6423","59.3%"
"Mizzix's Mastery","R","R","313",""
"Najeela, the Blade-Blossom","R","M","400",""
"Ragavan, Nimble Pilferer","R","M","735","56.3%"
"Carpet of Flowers","G","R","14",""
"Farseek","G","U","3642","54.6%"
"Fynn, the Fangbearer","G","U","4454","55.4%"
"Nature's Claim","G","U","859","49.9%"
"Primeval Titan","G","R","798","62.2%"
"Atraxa, Grand Unifier","WUBG","M","809","67.5%"
"Bruse Tarl, Boorish Herder","WR","R","489",""
"Dovin's Veto","WU","U","602","50.3%"
"Inalla, Archmage Ritualist","UBR","R","104",""
"Ishai, Ojutai Dragonspeaker","WU","R","185",""
"Isshin, Two Heavens as One","WBR","R","59",""
"Kinnan, Bonder Prodigy","UG","M","382",""
"Kraum, Ludevic's Opus","UR","R","691","59.6%"
"Muldrotha, the Gravetide","UBG","R","788","60.5%"
"Thrasios, Triton Hero","UG","M","598","54.5%"
"Vial Smasher the Fierce","BR","M","563","57.5%"
"Yuriko, the Tiger's Shadow","UB","R","440",""
"Chromatic Lantern","","R","312",""
"Smuggler's Copter","","R","1161","66.8%"
"Strixhaven Stadium","","U","231",""
"Command Beacon","","R","2",""
